capture_workflow,common_primary_scaled_chroma.jpeg90_512,common_primary_scaled_chroma.primary512,common_primary_scaled_chroma.resolution256,content_class,content_description,image_id,painter_id,pipeline_span_primary_iqr_units,raw_chroma.jpeg90_512,raw_chroma.primary512,raw_chroma.resolution256,raw_pipeline_span,source_id,subject_subcategory
unresolved,-0.4727815623015809,-0.4242320169810511,-0.42820939440757266,land,A large tree trunk and branches fill a dense garden view.,wikidata:Q105099583,claude_monet,0.04854954532052979,7.7687023403586775,8.125426904450913,8.096202568376519,0.35672456409223585,collection:Q1327886,tree trunk
unresolved,0.07545076848190367,0.08281123981932681,0.08608931192023948,water,A broad river runs beneath a long bridge with distant buildings.,wikidata:Q105099601,claude_monet,0.01063854343833581,11.796915950369781,11.850998041397014,11.875084133934868,0.07816818356508648,collection:Q1327886,river bridge
unresolved,1.7196982512361232,1.7359748007020765,1.735394523091495,land,A large tree trunk is surrounded by dense foliage.,wikidata:Q105099613,claude_monet,0.01627654946595338,23.87825394587162,23.99784816606121,23.99358449528282,0.11959422018959032,collection:Q1327886,tree trunk
unresolved,-0.37656385049953617,-0.36875325431609507,-0.36948351980958066,water,A pond and reflections lie below an arched garden footbridge.,wikidata:Q105099626,claude_monet,0.007810596183441097,8.475675414440646,8.533064860633056,8.527699132939514,0.05738944619240982,collection:Q1327886,garden pond and bridge
unresolved,0.2006931652499988,0.24148888092918,0.23007760809930877,land,A large haystack stands in a snowy field with smaller distant stacks.,wikidata:Q106879983,claude_monet,0.04079571567918119,12.717151950480648,13.016904168475836,12.933058247796286,0.2997522179951879,collection:Q106857407,haystack
unresolved,-0.5310182559820995,-0.5270786622700838,-0.5276240865849082,built,Two small houses stand in a broad snow-covered field.,wikidata:Q106925109,claude_monet,0.003939593712015657,7.340800100899983,7.369746815855623,7.365739234535006,0.02894671495563994,collection:Q1189960,snowbound houses
unresolved,0.5802732845467138,0.6000343976518671,0.6039571503497497,built,A straight avenue recedes between rows of tall trees toward a small building.,wikidata:Q108187503,paul_cezanne,0.023683865803035897,15.50616988463917,15.651367422780321,15.680190396032804,0.17402051139363373,collection:Q1992004,tree-lined avenue
unresolved,0.06574071952611318,0.09428778156163373,0.08708831663931128,land,Many slender tree trunks rise through a sloping forest interior.,wikidata:Q108479438,paul_cezanne,0.028547062035520546,11.725570009677647,11.935323534525363,11.882424460617315,0.20975352484771648,collection:Q106857407+Q23785329,slender woodland
unresolved,-0.38747611606757437,-0.3363996754655396,-0.3488126487119154,water,A stream crosses a snow-covered village scene beneath bare trees.,wikidata:Q113520917,claude_monet,0.05107644060203473,8.395496019302808,8.770787299351916,8.679581244976582,0.37529128004910817,collection:Q106857407,snowy stream
unresolved,-0.4545582912156722,-0.43452484538846975,-0.43131053240548456,built,Houses and a route appear beyond rough foreground vegetation in mist.,wikidata:Q116143411,claude_monet,0.023247758810187653,7.90260036950678,8.049798910353923,8.073416523868968,0.17081615436218733,collection:Q700959,misty village
unresolved,0.8787793767472072,0.8851333657272517,0.8845074134803649,water,The sea occupies the foreground below a long line of cliffs.,wikidata:Q117435199,claude_monet,0.00635398898004444,17.699485082877896,17.746171904230984,17.74157263268397,0.04668682135308799,collection:Q953345,coast
unresolved,-0.11071487746889258,-0.10862421286667677,-0.11122585843751438,built,Cottages line a slope beside a rough track and open ground.,wikidata:Q117435200,claude_monet,0.002601645570837604,10.42903786907568,10.444399319197709,10.425283365051232,0.01911595414647671,collection:Q953345,rural cottages
unresolved,0.18964738357727032,0.20990717436051842,0.20929627078946286,land,Bare trunks and branches rise from uneven rocky woodland ground.,wikidata:Q119122440,paul_cezanne,0.02025979078324811,12.635991527118334,12.784853169138655,12.780364469838828,0.14886164202032148,collection:Q1421440,rocky woodland
unresolved,0.307284328390486,0.3222513994963919,0.3142269171304044,land,A mountain rises beyond a foreground clearing and tall trees.,wikidata:Q123469396,paul_cezanne,0.014967071105905966,13.50034540690414,13.610318051977174,13.551357047189715,0.10997264507303406,collection:Q15128575+Q194622,mountain landscape
unresolved,0.2744701250062365,0.3053599033365513,0.2931162770544698,water,A pond reflects trees and a small low structure on its far bank.,wikidata:Q124156637,paul_cezanne,0.030889778330314744,13.259238465098642,13.486205425078136,13.396243671171929,0.22696695997949412,collection:Q11493678,pond reflection
unresolved,0.5400449214849977,0.5619513809902836,0.5592853535711809,land,Large exposed rocks stand among tree trunks and woodland growth.,wikidata:Q135088199,paul_cezanne,0.02190645950528591,15.210586369230498,15.371547139640079,15.351958130872674,0.1609607704095808,collection:Q135087947,rocks and woodland
unresolved,0.034775198833708554,0.031277683978755556,0.030266043904473548,land,Bare rocky slopes enclose a valley with a small winding stream.,wikidata:Q135208928,paul_cezanne,0.004509154929235007,11.498046522115423,11.472348043297504,11.464914876578147,0.0331316455372761,collection:Q1955739,rocky mountain valley
unresolved,0.09618878435633292,0.10909418233355281,0.11895172868411101,water,A river passes trees and houses along low banks.,wikidata:Q17492292,claude_monet,0.02276294432777809,11.94929141803076,12.044115631882129,12.116545330280044,0.16725391224928288,collection:Q1952944+Q23402,village river
unresolved,-0.09822336131106002,-0.09412706320876646,-0.09700255934137184,water,A town with towers stands across a broad reflective river.,wikidata:Q17493461,claude_monet,0.004096298102293553,10.520821028461308,10.550919150807978,10.529791041416214,0.03009812234667031,collection:Q23402+Q3086934,riverside town
unresolved,0.04088131097079019,0.060827080907058864,0.04890936402290826,water,A broad river reflects sunlight below a large distant towered building.,wikidata:Q17493907,claude_monet,0.01994576993626868,11.542912033749323,11.689466363744062,11.601899274651766,0.14655432999473916,collection:Q23402,riverside buildings
unresolved,1.4704196707567256,1.467702153302315,1.4673236796175178,land,A garden and sloping vegetation lead toward a distant cathedral.,wikidata:Q19967292,claude_monet,0.0030959911392077124,22.04664476452998,22.026677425537667,22.023896537285506,0.022748227244473895,collection:Q23402,garden overlook
unresolved,-0.0007572102657073828,0.005576627190735675,0.0051975116691004766,water,A river reflects a small house and dense trees on the opposite bank.,wikidata:Q20190070,paul_cezanne,0.006333837456443058,11.236967184225595,11.2835059394449,11.28072033520694,0.04653875521930573,collection:Q214867,river house reflection
unresolved,0.4818593732828109,0.5085581844564132,0.4986440195495106,land,Pine trunks grow among exposed rocks on uneven woodland ground.,wikidata:Q20198272,paul_cezanne,0.0266988111736023,14.783059928316213,14.979233171851345,14.906387460704018,0.19617324353513155,collection:Q1416890,rocky pinewood
unresolved,-0.19097028994911186,-0.16476620937752473,-0.17105522395557224,water,Groups of lily pads float across a reflective pond.,wikidata:Q20538824,claude_monet,0.02620408057158712,9.8393500183649,10.031888159713558,9.985678746852692,0.192538141348658,collection:Q49133,lily pond
unresolved,-0.47886956730639274,-0.4744482871130686,-0.47427313014214567,water,A curving river reflects trees that overhang the near bank.,wikidata:Q20538849,claude_monet,0.004596437164247099,7.723969873407756,7.756455847051392,7.757742837355578,0.03377296394782192,collection:Q49133,tree-lined river
unresolved,-0.1206246512033967,-0.09485142490219474,-0.09586267777069618,water,A row of tall poplars is mirrored in water along the lower edge.,wikidata:Q20809479,claude_monet,0.025773226301201966,10.35622442268077,10.545596802109811,10.538166480439,0.18937237942904162,collection:Q510324,poplar reflections
unresolved,0.9831436906650441,1.0291726084767638,1.0208247635519914,land,Branching pine trunks and foliage fill a wooded hillside view.,wikidata:Q20879001,paul_cezanne,0.04602891781171972,18.4663164536628,18.80452035513332,18.743183398788236,0.3382039014705214,collection:Q1641836,pine branches
unresolved,1.1886200591315494,1.2000144486560202,1.1967376631472773,land,A garden path passes dense trees beside the edge of a building wall.,wikidata:Q22337850,paul_cezanne,0.011394389524470859,19.97608276534594,20.05980463358134,20.035727994459123,0.08372186823540062,collection:Q60363894,garden beside wall
unresolved,0.857089638134404,0.8859760180387425,0.8755182150251312,land,Drooping willow foliage and trunk fill the scene.,wikidata:Q2450237,claude_monet,0.028886379904338576,17.540116699490483,17.75236340976442,17.675523241710046,0.21224671027393782,collection:Q1741629,willow tree
unresolved,0.23574032964479522,0.2340622135680257,0.23239354838781023,water,A river bends between sparse trees and grassy banks.,wikidata:Q24953805,claude_monet,0.0033467812569849768,12.974665885139805,12.962335692920092,12.95007494248261,0.02459094265719486,collection:Q180788,riverbank
